(?d <http://schema.org/alumniOf> yago:Janáček_Academy_of_Music_and_Performing_Arts) ^ (?d <http://schema.org/alumniOf> ?c) ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<31649.0__46450.0)_ef10_10/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.5833333333333334, lift: 5.460000000000001, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 36
(?d <http://schema.org/award> yago:Obec_přátelská_rodině_Q10817099) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<12994.5__14786.5)_ef10_6/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.10606060606060606, lift: 1.0790513833992095, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 198
(?d <http://schema.org/containsPlace> ?c) ^ (?c <http://schema.org/containedInPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<4.28__4.89)_ef10_2/10>) | support: 22, headCoverage: 0.013431013431013432, confidence: 0.10185185185185185, lift: 1.036231884057971, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 216
(?d <http://schema.org/nationality> yago:Czech_Republic) ^ (?d <http://schema.org/alumniOf> ?c) ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<5.61__6.14)_ef10_4/10>) | support: 22, headCoverage: 0.013431013431013432, confidence: 0.10185185185185185, lift: 1.036231884057971, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 216
(?d <http://schema.org/nationality> yago:Czech_Republic) ^ (?d <http://schema.org/alumniOf> ?c) ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<6.74__7.29)_ef10_6/10>) | support: 22, headCoverage: 0.013431013431013432, confidence: 0.10185185185185185, lift: 1.036231884057971, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 216
(?d <http://schema.org/award> yago:Obec_přátelská_rodině_Q10817099) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<4.89__5.61)_ef10_3/10>) | support: 20, headCoverage: 0.01221001221001221, confidence: 0.10101010101010101, lift: 1.0276679841897234, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 198
(?d <http://schema.org/award> yago:Obec_přátelská_rodině_Q10817099) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<6.74__7.29)_ef10_6/10>) | support: 20, headCoverage: 0.01221001221001221, confidence: 0.10101010101010101, lift: 1.0276679841897234, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 198

# @prefix yago : http://yago-knowledge.org/resource/
# @prefix czso : http://data.czso.cz/ontology/
# @prefix schema : http://schema.org/
# @prefix qb : http://purl.org/linked-data/cube#
